R_fighter,B_fighter,title_bout,date,weight_class,Winner
Shane Young,Ludovit Klein,False,2020-09-26,Featherweight,Blue
Diego Sanchez,Jake Matthews,False,2020-09-26,Welterweight,Blue
Brad Riddell,Alex Da Silva,False,2020-09-26,Lightweight,Red
Dominick Reyes,Jan Blachowicz,True,2020-09-26,LightHeavyweight,Blue
Hakeem Dawodu,Zubaira Tukhugov,False,2020-09-26,Featherweight,Red
William Knight,Aleksa Camur,False,2020-09-26,LightHeavyweight,Red
Khadis Ibragimov,Danilo Marques,False,2020-09-26,LightHeavyweight,Blue
Juan Espino,Jeff Hughes,False,2020-09-26,Heavyweight,Red
Johnny Walker,Ryan Spann,False,2020-09-19,LightHeavyweight,Red
Mirsad Bektic,Damon Jackson,False,2020-09-19,Featherweight,Blue
Colby Covington,Tyron Woodley,False,2020-09-19,Welterweight,Red
Mackenzie Dern,Randa Markos,False,2020-09-19,WomenStrawweight,Red
Jordan Espinosa,David Dvorak,False,2020-09-19,Flyweight,Blue
Kevin Holland,Darren Stewart,False,2020-09-19,Middleweight,Red
Khamzat Chimaev,Gerald Meerschaert,False,2020-09-19,Middleweight,Red
Donald Cerrone,Niko Price,False,2020-09-19,Welterweight,Draw
Jessica-Rose Clark,Sarah Alpar,False,2020-09-19,WomenBantamweight,Red
Darrick Minner,TJ Laramie,False,2020-09-19,Featherweight,Red
Journey Newson,Randy Costa,False,2020-09-19,Bantamweight,Blue
Mayra Bueno Silva,Mara Romero Borella,False,2020-09-19,WomenFlyweight,Red
Andre Ewell,Irwin Rivera,False,2020-09-19,Bantamweight,Red
Tyson Nam,Jerome Rivera,False,2020-09-19,Bantamweight,Red
Bobby Green,Alan Patrick,False,2020-09-12,Lightweight,Red
Roosevelt Roberts,Kevin Croom,False,2020-09-12,Lightweight,Draw
Billy Quarantillo,Kyle Nelson,False,2020-09-12,Featherweight,Red
Julia Avila,Sijara Eubanks,False,2020-09-12,WomenBantamweight,Blue
Michelle Waterson,Angela Hill,False,2020-09-12,WomenStrawweight,Red
Roxanne Modafferi,Andrea Lee,False,2020-09-12,WomenFlyweight,Red
Ed Herman,Mike Rodriguez,False,2020-09-12,LightHeavyweight,Red
Ottman Azaitar,Khama Worthy,False,2020-09-12,Lightweight,Red
Alexandr Romanov,Roque Martinez,False,2020-09-12,Heavyweight,Red
Brok Weaver,Jalin Turner,False,2020-09-12,CatchWeight,Blue
Bryan Barberena,Anthony Ivy,False,2020-09-12,Welterweight,Red
Sabina Mazo,Justine Kish,False,2020-09-12,WomenFlyweight,Red
Ovince Saint Preux,Alonzo Menifield,False,2020-09-05,LightHeavyweight,Red
Brian Kelleher,Ray Rodriguez,False,2020-09-05,Featherweight,Red
Michel Pereira,Zelim Imadaev,False,2020-09-05,Welterweight,Red
Viviane Araujo,Montana De La Rosa,False,2020-09-05,WomenFlyweight,Red
Andre Muniz,Bartosz Fabinski,False,2020-09-05,Middleweight,Red
Cole Smith,Hunter Azure,False,2020-09-05,Bantamweight,Blue
Alistair Overeem,Augusto Sakai,False,2020-09-05,Heavyweight,Red
Alessio Di Chirico,Zak Cummings,False,2020-08-29,Middleweight,Blue
Anthony Smith,Aleksandar Rakic,False,2020-08-29,LightHeavyweight,Blue
Ricardo Lamas,Bill Algeo,False,2020-08-29,Featherweight,Red
Robbie Lawler,Neil Magny,False,2020-08-29,Welterweight,Blue
Ji Yeon Kim,Alexa Grasso,False,2020-08-29,WomenFlyweight,Blue
Alex Caceres,Austin Springer,False,2020-08-29,Featherweight,Red
Maki Pitolo,Impa Kasanganay,False,2020-08-29,Middleweight,Blue
Sean Brady,Christian Aguilera,False,2020-08-29,Welterweight,Red
Mallory Martin,Hannah Cifers,False,2020-08-29,WomenStrawweight,Red
Polyana Viana,Emily Whitmire,False,2020-08-29,WomenStrawweight,Red
Ike Villanueva,Jordan Wright,False,2020-08-22,LightHeavyweight,Blue
Carlton Minus,Matthew Semelsberger,False,2020-08-22,Welterweight,Blue
Daniel Rodriguez,Dwight Grant,False,2020-08-22,Welterweight,Red
Marcin Prachnio,Mike Rodriguez,False,2020-08-22,LightHeavyweight,Blue
Amanda Lemos,Inoue Mizuki,False,2020-08-22,WomenStrawweight,Red
Mariya Agapova,Shana Dobson,False,2020-08-22,WomenFlyweight,Blue
Austin Hubbard,Joe Solecki,False,2020-08-22,Lightweight,Blue
Pedro Munhoz,Frankie Edgar,False,2020-08-22,Bantamweight,Blue
Timur Valiev,Trevin Jones,False,2020-08-22,CatchWeight,Draw
Junior Dos Santos,Jairzinho Rozenstruik,False,2020-08-15,Heavyweight,Blue
Herbert Burns,Daniel Pineda,False,2020-08-15,Featherweight,Blue
Felice Herrig,Virna Jandiroba,False,2020-08-15,WomenStrawweight,Blue
Sean O'Malley,Marlon Vera,False,2020-08-15,Bantamweight,Blue
John Dodson,Merab Dvalishvili,False,2020-08-15,Bantamweight,Blue
