R_fighter,B_fighter,R_wins,R_draw,R_losses,B_wins,B_draw,B_losses
Ike Villanueva,Jordan Wright,0,0,1,0,0,0
Carlton Minus,Matthew Semelsberger,0,0,0,0,0,0
Daniel Rodriguez,Dwight Grant,2,0,0,2,0,1
Marcin Prachnio,Mike Rodriguez,0,0,2,1,0,3
Amanda Lemos,Inoue Mizuki,1,0,1,1,0,0
Mariya Agapova,Shana Dobson,1,0,0,1,0,3
Austin Hubbard,Joe Solecki,2,0,2,1,0,0
Pedro Munhoz,Frankie Edgar,8,0,5,17,0,9
Timur Valiev,Trevin Jones,0,0,0,0,0,0
Junior Dos Santos,Jairzinho Rozenstruik,15,0,6,4,0,1
Herbert Burns,Daniel Pineda,2,0,0,3,0,4
Felice Herrig,Virna Jandiroba,5,0,3,1,0,1
Sean O'Malley,Marlon Vera,4,0,0,9,0,5
John Dodson,Merab Dvalishvili,10,0,6,4,0,2
Stipe Miocic,Daniel Cormier,13,0,3,11,0,3
TJ Brown,Danny Chavez,0,0,1,0,0,0
Jim Miller,Vinc Pichel,21,0,14,5,0,2
Chris Daukaus,Parker Porter,0,0,0,0,0,0
Kai Kamaka,Tony Kelley,0,0,0,0,0,0
Ashley Yoder,Livinha Souza,2,0,4,2,0,1
Tim Means,Laureano Staropoli,11,0,10,2,0,1
Kevin Holland,Joaquin Buckley,4,0,2,0,0,0
Nasrat Haqparast,Alexander Munoz,3,0,2,0,0,0
Derrick Lewis,Aleksei Oleinik,14,0,5,8,0,4
Yana Kunitskaya,Julija Stoliarenko,2,0,2,0,0,1
Beneil Dariush,Scott Holtzman,12,0,5,7,0,3
Maki Pitolo,Darren Stewart,1,0,1,4,0,5
Omari Akhmedov,Chris Weidman,8,0,4,10,0,5
Youssef Zalal,Peter Barrett,2,0,0,0,0,0
Irwin Rivera,Ali AlQaisi,0,0,1,0,0,0
Gavin Tucker,Justin Jaynes,2,0,1,1,0,0
Andrew Sanchez,Wellington Turman,4,0,3,1,0,1
Joanne Calderwood,Jennifer Maia,6,0,4,2,0,2
Johnny Munoz,Nate Maness,0,0,0,0,0,0
Frankie Saenz,Jonathan Martinez,5,0,4,2,0,2
Jamall Emmers,Vince Cachero,0,0,1,0,0,0
Vicente Luque,Randy Brown,11,0,3,6,0,3
Derek Brunson,Edmen Shahbazyan,11,0,5,4,0,0
Chris Gutierrez,Cody Durden,3,0,1,0,0,0
Lando Vannata,Bobby Green,3,0,6,6,0,6
Alex Oliveira,Peter Sobotta,10,0,7,4,0,5
Robert Whittaker,Darren Till,11,0,3,6,0,3
Mauricio Rua,Rogerio Nogueira,10,0,10,6,0,6
Francisco Trinaldo,Jai Herbert,15,0,6,0,0,0
Carla Esparza,Marina Rodriguez,7,0,4,2,0,2
Khamzat Chimaev,Rhys McKee,1,0,0,0,0,0
Paul Craig,Gadzhimurad Antigulov,4,0,5,2,0,2
Fabricio Werdum,Alexander Gustafsson,11,0,6,10,0,6
Tom Aspinall,Jake Collier,0,0,0,3,0,3
Nicolas Dalby,Jesse Ronson,2,0,3,0,0,3
Tanner Boser,Raphael Pessoa,2,0,1,1,0,1
Movsar Evloev,Mike Grundy,2,0,0,1,0,0
Ramazan Emeev,Niklas Stolze,3,0,1,0,0,0
Bethe Correia,Pannie Kianzad,5,0,5,1,0,2
Nathaniel Wood,John Castaneda,3,0,1,0,0,0
Joe Duffy,Joel Alvarez,4,0,3,1,0,1
Jack Hermansson,Kelvin Gastelum,7,0,3,10,0,6
Marc Diakiese,Rafael Fiziev,5,0,3,1,0,1
Alexandre Pantoja,Askar Askarov,6,0,2,1,0,1
Grant Dawson,Nad Narimani,3,0,0,2,0,1
Deiveson Figueiredo,Joseph Benavidez,7,0,1,15,0,4
Roman Dolidze,Khadis Ibragimov,0,0,0,0,0,2
Ariane Lipski,Luana Carolina,1,0,2,1,0,0
Malcolm Gordon,Amir Albazi,0,0,0,0,0,0
Brett Johns,Montel Jackson,4,0,2,3,0,1
Carlos Felipe,Serghei Spivac,0,0,0,1,0,2
Davi Ramos,Arman Tsarukyan,4,0,2,1,0,1
Modestas Bukauskas,Andreas Michailidis,0,0,0,0,0,0
Molly McCann,Taila Santos,3,0,1,0,0,1
John Phillips,Khamzat Chimaev,1,0,3,0,0,0
Ricardo Ramos,Lerone Murphy,5,0,1,0,0,1
Jimmie Rivera,Cody Stamann,6,0,3,5,0,2
Calvin Kattar,Dan Ige,5,0,2,6,0,1
Abdul Razak Alhassan,Mounir Lazzez,4,0,1,0,0,0
Tim Elliott,Ryan Benoit,4,0,9,3,0,4
Diana Belbita,Liana Jojua,0,0,1,0,0,1
Jack Shore,Aaron Phillips,1,0,0,0,0,2
Jared Gordon,Chris Fishgold,3,0,3,1,0,2
Jessica Andrade,Rose Namajunas,11,0,5,6,0,3
Makwan Amirkhani,Danny Henry,5,0,2,2,0,1
Volkan Oezdemir,Jiri Prochazka,5,0,3,0,0,0
Elizeu Zaleski dos Santos,Muslim Salikhov,8,0,2,3,0,1
Petr Yan,Jose Aldo,6,0,0,10,0,5
Alexander Volkanovski,Max Holloway,8,0,0,17,0,5
Kamaru Usman,Jorge Masvidal,11,0,0,12,0,6
Amanda Ribas,Paige VanZant,3,0,0,5,0,3
Leonardo Santos,Roman Bogatov,6,0,1,0,0,0
Karol Rosa,Vanessa Melo,1,0,0,0,0,2
Marcin Tybura,Maxim Grishin,5,0,5,0,0,0
Raulian Paiva,Zhalgas Zhumagulov,1,0,2,0,0,0
Martin Day,Davey Grant,0,0,1,2,0,3
Luis Pena,Khama Worthy,4,0,2,1,0,0
Philipe Lins,Tanner Boser,0,0,1,1,0,1
Gian Villante,Maurice Greene,7,0,8,3,0,2
Sean Woodson,Julian Erosa,1,0,0,1,0,4
Mike Perry,Mickey Gall,6,0,6,5,0,2
Dustin Poirier,Dan Hooker,17,0,6,10,0,4
Brendan Allen,Kyle Daukaus,2,0,0,0,0,0
Takashi Sato,Jason Witt,1,0,1,0,0,0
Jordan Griffin,Youssef Zalal,1,0,2,1,0,0
Kay Hansen,Jinh Yu Frey,0,0,0,0,0,0
Jim Miller,Roosevelt Roberts,20,0,14,4,0,1
Marc-Andre Barriault,Oskar Piechota,0,0,3,2,0,3
Clay Guida,Bobby Green,15,0,13,5,0,6
Belal Muhammad,Lyman Good,7,0,3,3,0,2
Curtis Blaydes,Alexander Volkov,8,0,3,5,0,1
Josh Emmett,Shane Burgos,6,0,2,6,0,1
Tecia Torres,Brianna Van Buren,6,0,5,1,0,0
Raquel Pennington,Marion Reneau,7,0,5,5,0,5
Cortney Casey,Gillian Robertson,5,0,6,4,0,2
Frank Camacho,Justin Jaynes,2,0,4,0,0,0
Roxanne Modafferi,Lauren Murphy,3,0,4,4,0,4
Austin Hubbard,Max Rohskopf,1,0,2,0,0,0
Mariya Agapova,Hannah Cifers,0,0,0,2,0,3
Andre Fili,Charles Jourdain,8,0,6,1,0,1
Merab Dvalishvili,Gustavo Lopez,3,0,2,0,0,0
Jordan Espinosa,Mark De La Rosa,1,0,2,2,0,4
Karl Roberson,Marvin Vettori,4,0,2,4,0,3
Charles Rosa,Kevin Aguilar,3,0,4,2,0,2
Jessica Eye,Cynthia Calvillo,5,0,7,5,0,2
Julia Avila,Gina Mazany,1,0,0,1,0,3
Anthony Ivy,Christian Aguilera,0,0,0,0,0,0
Tyson Nam,Zarrukh Adashev,0,0,2,0,0,0
Cody Stamann,Brian Kelleher,4,0,2,5,0,3
Eddie Wineland,Sean O'Malley,6,0,7,3,0,0
Alex Caceres,Chase Hooper,10,0,11,1,0,0
Raphael Assuncao,Cody Garbrandt,11,0,4,6,0,3
Amanda Nunes,Felicia Spencer,12,0,1,2,0,1
Aljamain Sterling,Cory Sandhagen,10,0,3,5,0,0
Neil Magny,Anthony Rocco Martin,15,0,6,9,0,5
Ian Heinisch,Gerald Meerschaert,2,0,2,6,0,4
Charles Byrd,Maki Pitolo,1,0,2,0,0,1
Evan Dunham,Herbert Burns,11,0,9,1,0,0
Alonzo Menifield,Devin Clark,2,0,0,5,0,4
Jussier Formiga,Alex Perez,9,0,6,5,0,1
Blagoy Ivanov,Augusto Sakai,2,0,2,3,0,0
Jamahal Hill,Klidson Abreu,1,0,0,1,0,2
Mackenzie Dern,Hannah Cifers,2,0,1,2,0,2
Daniel Rodriguez,Gabe Green,1,0,0,0,0,0
Katlyn Chookagian,Antonina Shevchenko,6,0,3,2,0,1
Tyron Woodley,Gilbert Burns,9,0,4,11,0,3
